CARTR,BINOMIALR,MARSR,NNETR,SVMR,CARTC,NAIVEC,NNETC,SVMC,KNNC,Class
161,216,28,256,65,7,49,152,126,95,0
248,230,41,244,275,144,104,136,14,259,0
63,67,226,237,199,185,158,189,17,221,0
132,86,80,219,45,35,232,138,242,5,0
110,136,248,64,6,40,191,76,251,223,0
271,78,23,157,96,190,31,30,172,156,0
41,72,163,100,165,279,107,8,69,99,0
218,157,19,3,98,61,101,195,47,131,0
183,1,256,118,86,78,7,204,28,7,0
255,240,21,59,193,183,125,15,43,76,0
139,5,190,59,126,172,226,258,171,72,0
200,227,104,82,115,110,232,130,204,123,0
156,16,81,70,50,187,250,43,220,201,0
71,201,207,68,97,91,46,278,164,105,0
227,267,61,277,34,93,214,265,146,37,0
3,94,81,237,208,152,267,107,57,165,0
262,239,197,148,108,53,72,186,54,230,0
4,39,186,233,155,127,97,79,140,173,0
64,252,263,162,40,153,31,131,236,71,0
139,113,23,110,48,49,95,83,103,204,0
42,272,14,177,131,61,254,53,105,276,0
17,149,229,138,237,90,85,225,2,76,0
242,275,236,98,258,10,172,268,123,10,0
89,84,181,79,239,241,107,227,266,187,0
206,248,49,229,69,267,273,259,220,241,0
189,205,200,60,7,108,61,38,6,66,0
164,47,228,134,189,17,234,252,124,103,0
226,251,195,166,208,8,236,60,23,49,0
97,77,180,115,203,277,233,44,195,239,0
224,37,31,236,249,7,108,0,210,263,0
93,86,91,188,198,179,211,148,239,96,0
2,191,160,17,67,235,238,50,149,206,0
79,50,144,18,215,207,207,131,64,217,0
61,36,231,67,184,168,33,243,173,92,0
234,235,6,65,77,128,111,55,37,184,0
209,245,206,209,88,206,33,148,56,245,0
51,135,167,249,217,18,174,179,33,26,0
234,172,120,241,17,164,100,23,147,269,0
5,202,111,78,37,240,150,107,40,261,0
80,90,18,88,154,216,156,80,209,66,0
163,92,198,8,21,135,69,51,200,258,0
203,112,17,76,259,20,254,253,229,279,0
169,16,61,173,169,150,91,47,46,143,0
92,81,201,28,173,220,150,224,223,27,0
223,221,19,107,238,218,26,108,118,266,0
10,260,182,48,273,67,228,62,79,137,0
266,229,12,187,16,239,139,188,230,128,0
106,32,171,171,151,220,111,1,216,121,0
1,116,231,64,206,249,192,31,279,44,0
9,73,69,230,21,52,268,257,84,260,0
185,100,35,197,225,33,155,182,160,12,0
273,64,203,199,162,149,154,96,176,94,0
29,148,277,157,170,228,74,265,136,182,0
77,112,108,167,206,167,53,68,76,84,0
262,119,240,148,23,222,29,65,56,152,0
51,219,84,257,7,208,246,205,272,238,0
250,161,1,268,90,125,38,113,131,205,0
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
34,34,34,34,20,11,59,34,59,34,1
117,20,108,271,202,274,35,167,86,55,0
148,37,53,19,214,48,27,181,228,108,0
139,238,61,31,60,12,48,202,96,15,0
79,275,1,209,247,39,243,278,74,92,0
128,90,193,244,276,138,73,77,94,162,0
248,134,103,6,196,172,82,124,153,227,0
240,71,197,184,278,55,194,155,46,11,0
239,178,279,256,211,184,146,123,87,236,0
82,274,159,174,191,1,173,260,183,73,0
177,235,49,130,121,177,216,153,73,247,0
192,13,72,213,144,116,31,165,3,266,0
6,49,109,121,164,184,263,196,114,275,0
167,125,13,166,8,47,191,66,257,277,0
121,272,220,177,159,56,189,73,136,55,0
13,28,128,23,242,139,139,128,29,178,0
104,100,71,141,224,57,232,159,19,127,0
78,262,101,161,135,3,161,8,76,181,0
146,19,130,229,154,163,181,52,217,179,0
90,184,156,276,250,45,31,214,231,169,0
48,60,12,152,202,182,61,254,258,193,0
232,27,250,100,22,144,184,273,266,56,0
34,116,229,9,176,279,268,162,261,75,0
55,271,211,52,22,39,235,180,257,222,0
214,31,268,119,35,174,198,225,182,221,0
213,179,209,247,120,42,97,193,265,150,0
175,84,140,61,257,148,248,183,245,189,0
225,137,129,22,247,149,74,53,142,6,0
31,138,11,121,194,264,184,94,83,214,0
277,127,224,155,99,240,68,56,142,36,0
258,55,54,120,183,41,274,200,10,278,0
274,152,121,221,231,30,241,252,9,58,0
97,209,124,119,132,126,144,67,161,123,0
268,34,249,54,31,169,164,125,26,166,0
40,164,173,85,127,266,172,46,19,238,0
142,114,97,143,67,267,136,273,183,123,0
108,163,46,269,259,221,262,248,172,198,0
20,90,271,60,156,105,156,101,80,117,0
100,74,212,33,14,228,76,16,119,70,0
35,76,113,210,121,9,175,263,136,224,0
34,64,99,200,59,152,178,96,94,10,0
95,143,247,269,127,3,51,172,213,208,0
125,211,81,249,140,13,136,34,246,219,0
80,6,140,15,114,12,89,14,229,44,0
31,140,275,80,40,202,202,109,222,26,0
9,41,215,235,260,62,97,88,223,20,0
14,74,163,54,228,70,79,194,132,137,0
247,44,172,8,81,44,19,189,154,163,0
137,147,236,261,73,130,66,41,124,142,0
186,204,274,202,261,226,119,274,278,278,0
0,158,276,34,145,274,78,199,253,90,0
186,56,1,267,58,218,13,101,116,3,0
208,268,53,92,207,62,17,33,1,279,0
209,221,154,224,225,106,26,22,29,182,0
234,118,7,97,82,14,24,83,74,247,0
249,138,75,14,212,201,24,162,68,61,0
207,65,142,153,110,11,266,273,59,111,0
114,67,45,12,173,89,128,199,128,259,0
233,172,203,274,111,192,36,103,74,75,0
178,26,99,123,95,95,31,19,50,18,0
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
34,34,34,34,28,59,59,34,59,34,1
0,74,145,163,10,40,184,261,95,140,0
16,136,0,88,239,38,177,206,239,211,0
40,116,222,269,1,234,162,163,233,37,0
175,178,85,267,214,259,6,215,131,240,0
179,263,99,181,43,104,248,227,14,19,0
267,127,278,249,245,18,135,98,114,81,0
48,187,58,149,246,134,133,213,204,51,0
195,31,152,125,125,54,52,255,251,20,0
144,269,75,1,41,214,179,172,16,7,0
67,190,225,188,170,238,238,127,155,206,0
32,195,179,245,114,201,202,54,58,41,0
124,134,236,166,43,163,76,88,243,207,0
8,149,161,140,64,97,177,17,107,249,0
27,123,247,176,272,175,188,137,55,115,0
126,131,71,100,22,242,16,146,204,178,0
42,208,234,119,137,240,88,112,196,84,0
135,161,88,190,12,256,230,56,12,159,0
22,200,110,184,231,203,266,7,140,75,0
252,57,196,51,60,74,101,207,173,52,0
230,96,239,267,168,221,196,214,113,245,0
12,192,117,1,150,268,40,87,155,263,0
173,32,120,7,148,227,104,234,275,179,0
179,177,92,27,200,83,119,58,146,30,0
196,42,194,232,231,90,224,179,80,195,0
247,271,13,207,173,162,271,205,163,243,0
214,193,111,44,234,105,276,37,231,155,0
155,36,83,74,248,74,40,183,51,10,0
193,227,73,251,170,3,270,213,64,228,0
273,112,2,206,37,215,3,117,168,84,0
37,218,169,157,68,209,155,124,76,180,0
24,100,271,108,52,207,63,63,104,29,0
245,253,78,230,147,180,216,265,252,92,0
192,205,174,5,275,28,265,52,47,208,0
255,53,29,245,136,154,261,70,120,9,0
206,100,15,59,222,265,190,17,180,155,0
209,81,7,92,157,191,171,253,167,119,0
176,59,118,86,134,154,198,240,193,14,0
18,75,236,248,61,3,253,205,93,48,0
102,3,205,193,179,220,14,171,141,197,0
241,221,26,217,155,219,254,126,21,130,0
82,169,71,147,263,277,1,49,63,190,0
62,108,1,20,221,72,191,187,117,271,0
181,95,12,3,216,45,244,128,193,149,0
59,102,221,131,221,148,58,149,152,255,0
232,15,164,59,169,226,61,41,110,83,0
238,6,256,151,12,180,224,36,236,265,0
108,267,194,61,214,18,183,34,218,262,0
62,180,123,77,163,135,219,17,152,272,0
78,201,166,76,41,146,188,228,13,34,0
151,74,274,181,54,173,161,152,49,112,0
98,19,102,242,30,228,23,278,66,22,0
139,194,113,193,31,4,277,274,1,129,0
50,91,9,63,111,270,109,242,50,123,0
63,12,222,192,221,45,3,176,212,155,0
147,196,234,250,140,118,231,12,47,157,0
135,92,20,67,223,165,256,266,225,271,0
244,28,157,41,211,218,222,266,8,60,0
7,225,81,240,0,109,228,86,121,271,0
276,223,49,276,16,181,235,198,136,46,0
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
34,34,34,34,27,59,59,34,59,34,1
6,257,125,210,48,235,84,252,30,125,0
63,54,74,190,80,60,162,159,51,123,0
273,89,215,42,148,274,200,110,243,127,0
60,252,138,44,143,88,146,158,166,50,0
57,201,269,240,259,61,21,118,156,67,0
126,226,75,78,108,84,92,213,273,74,0
162,260,223,26,198,194,64,161,169,110,0
188,25,27,251,206,255,221,266,132,273,0
81,174,105,94,259,154,152,264,76,39,0
7,165,260,2,134,172,41,98,194,122,0
232,167,259,148,119,102,246,278,236,1,0
215,2,206,171,183,221,142,185,30,107,0
57,276,222,139,149,99,52,84,157,246,0
26,47,227,85,53,71,265,182,33,179,0
197,38,84,52,190,207,238,177,175,15,0
195,208,191,57,194,95,105,117,165,224,0
55,218,237,227,71,196,81,110,103,193,0
43,8,274,37,23,67,6,277,89,199,0
65,96,2,171,1,137,38,118,93,266,0
206,60,107,131,245,204,222,64,104,174,0
91,200,31,82,9,34,75,227,66,74,0
139,163,58,72,223,208,20,33,112,20,0
267,272,218,274,212,53,31,260,189,13,0
89,210,26,122,259,244,108,49,196,97,0
182,1,162,72,142,59,111,84,139,205,0
218,52,153,73,181,144,47,83,247,216,0
153,191,141,222,143,40,33,164,129,102,0
127,168,165,231,88,276,103,229,221,137,0
123,136,266,12,122,3,252,121,175,161,0
176,84,61,210,50,14,103,105,223,164,0
3,53,103,4,204,159,250,41,2,171,0
118,165,80,55,114,214,210,8,19,273,0
113,204,104,19,141,219,3,143,102,207,0
143,241,206,106,33,169,134,78,84,236,0
148,159,205,76,126,213,239,167,22,174,0
124,85,81,72,74,227,157,260,221,156,0
175,190,190,95,95,17,208,76,265,15,0
250,72,64,198,150,129,120,14,190,235,0
272,63,5,96,19,248,81,46,186,250,0
11,34,47,211,144,170,144,214,96,16,0
182,55,40,211,66,132,182,128,195,248,0
17,261,198,73,34,118,218,57,123,8,0
6,273,266,51,154,193,121,21,79,221,0
246,161,156,186,34,111,246,198,232,157,0
2,20,37,43,274,127,206,131,139,6,0
114,71,15,150,117,237,99,229,189,190,0
151,58,261,212,61,83,220,17,136,230,0
193,268,59,17,5,271,34,260,157,196,0
121,164,83,46,264,11,264,83,175,227,0
16,23,76,74,114,4,62,150,106,109,0
60,97,52,210,199,144,183,102,97,150,0
76,172,177,14,130,8,213,197,128,162,0
34,270,38,92,226,55,208,101,90,224,0
119,63,175,244,30,146,61,120,30,91,0
68,88,38,183,231,73,91,2,122,249,0
0,4,167,82,202,243,45,262,67,20,0
238,205,121,266,116,249,106,145,279,19,0
221,44,213,254,144,178,86,224,26,119,0
171,49,221,279,107,237,194,214,122,11,0
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
42,42,42,42,28,15,33,42,7,42,1
200,75,206,104,218,99,94,222,156,217,0
42,45,258,171,225,204,117,184,235,176,0
123,117,52,219,114,111,42,208,256,274,0
259,107,98,168,141,134,63,62,235,133,0
25,0,97,171,151,165,165,246,9,37,0
274,13,154,38,114,145,235,14,175,257,0
242,155,270,184,22,215,56,66,5,103,0
167,180,116,234,73,232,258,278,36,55,0
217,141,23,202,258,271,272,33,229,10,0
63,188,274,181,246,80,119,106,179,152,0
254,265,260,21,273,185,110,57,45,225,0
274,117,136,221,165,43,161,92,114,149,0
99,62,197,148,69,195,71,229,65,223,0
201,46,255,186,199,278,125,59,12,122,0
93,92,107,131,147,152,80,101,89,73,0
164,75,194,71,135,214,31,147,61,165,0
89,105,64,253,196,268,13,98,51,115,0
214,126,78,121,99,213,21,258,230,276,0
32,2,114,62,77,264,215,61,76,23,0
212,218,154,188,233,132,96,59,241,188,0
208,261,96,209,276,277,111,111,107,176,0
217,211,136,98,16,225,232,93,33,38,0
64,92,193,226,241,101,219,277,201,85,0
215,274,47,150,272,192,83,219,137,189,0
47,165,181,142,182,166,203,250,240,154,0
122,165,119,269,55,215,9,127,192,236,0
66,188,203,175,173,265,32,55,159,161,0
279,52,208,189,200,18,222,82,46,260,0
264,187,102,148,108,247,66,135,70,142,0
20,78,174,70,273,222,53,90,140,65,0
275,185,164,158,223,180,276,179,68,73,0
44,59,117,109,273,130,165,127,238,61,0
69,143,228,134,259,269,70,269,235,229,0
106,195,189,240,260,152,130,183,253,68,0
172,73,139,2,146,227,102,177,85,199,0
199,156,257,157,28,121,155,149,156,63,0
68,231,156,96,63,250,84,270,173,73,0
177,178,82,156,127,111,187,2,66,101,0
167,43,185,74,159,12,24,147,59,212,0
193,272,219,235,158,245,55,83,198,68,0
235,78,178,176,26,111,242,45,93,148,0
16,139,256,9,65,114,242,40,11,135,0
184,140,72,204,172,134,102,165,207,174,0
15,175,272,211,228,19,167,213,137,200,0
171,23,269,271,117,219,113,143,47,118,0
66,89,124,274,221,263,268,58,230,261,0
92,0,108,273,57,42,188,278,39,196,0
57,28,50,55,213,76,120,238,231,175,0
33,145,225,198,196,242,92,60,271,269,0
18,16,138,21,184,159,129,217,22,278,0
76,262,253,149,77,246,20,103,62,78,0
46,237,212,133,163,74,12,40,113,177,0
88,74,72,3,181,9,207,6,148,260,0
54,39,148,136,57,7,97,42,53,83,0
99,31,258,261,85,183,85,24,279,143,0
49,97,251,198,226,34,265,175,29,88,0
63,29,39,44,161,118,57,30,105,238,0
69,84,170,140,7,11,71,169,251,109,0
179,213,103,160,172,83,172,104,170,269,0
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
34,34,34,34,33,59,59,34,59,34,1
